ticket_id,customer_id,ticket_date,issue_type,priority,resolution_time_hr,is_resolved,satisfaction_score
132,5642,2024-03-21,Technical,Medium,19.1,0,1
133,1153,2024-03-07,Content,Low,1.1,1,5
134,1544,2023-06-06,Technical,Low,17.5,0,3
135,18832,2023-01-04,Payment,Medium,37.0,1,4
136,11500,2023-05-14,Payment,High,14.6,1,1
137,13761,2023-12-12,Payment,High,29.8,0,2
138,3766,2023-09-22,Content,High,33.3,0,3
139,6853,2024-08-21,Other,Low,37.7,1,5
140,17540,2024-12-27,Other,High,6.0,1,1
141,16115,2023-09-27,Payment,Low,10.3,0,5
142,18414,2023-10-11,Login,Medium,25.1,1,5
143,8998,2024-04-06,Content,High,10.7,0,1
144,9202,2023-02-12,Content,High,35.1,0,1
145,8835,2024-05-11,Technical,Medium,35.7,0,1
146,10083,2023-03-20,Technical,Medium,36.7,1,2
147,7980,2023-06-01,Other,Low,46.9,0,1
148,10001,2023-07-14,Login,Medium,30.8,0,2
149,17727,2024-10-23,Login,High,2.2,0,1
150,6545,2023-08-17,Other,Medium,8.9,1,1
151,1522,2023-10-08,Login,High,32.0,0,3
152,17574,2024-03-07,Other,Low,34.6,1,5
153,1027,2023-12-18,Other,High,14.9,0,2
154,18668,2024-09-25,Other,Low,10.1,1,4
155,5810,2023-02-09,Other,Low,4.2,0,5
156,8994,2023-03-29,Payment,High,8.0,1,1
157,5734,2023-11-19,Other,Low,42.8,0,5
158,2523,2023-02-16,Payment,Low,2.6,0,5
159,9790,2024-10-17,Technical,High,29.0,0,2
160,4605,2024-07-07,Content,High,33.4,0,4
161,9374,2023-09-05,Login,High,47.2,0,1
162,11150,2023-04-03,Technical,Medium,9.7,0,5
163,8420,2023-09-22,Technical,Medium,21.7,1,3
164,12923,2024-09-30,Other,Medium,8.9,1,2
165,13471,2024-10-31,Content,High,20.5,1,4
166,1702,2024-07-24,Technical,Medium,22.1,0,4
167,12819,2023-07-27,Other,Medium,17.6,0,4
168,19691,2023-11-08,Technical,High,15.5,0,4
169,7121,2023-07-25,Technical,Medium,30.3,0,2
170,4443,2023-02-05,Other,Low,13.7,0,1
171,16314,2024-08-01,Login,Low,17.2,0,5
172,845,2023-11-11,Login,High,29.1,1,4
173,1673,2023-08-02,Content,High,33.9,0,4
174,11901,2023-02-13,Other,Medium,17.3,1,5
175,17973,2024-05-24,Login,High,15.2,0,5
176,634,2024-06-22,Other,High,26.4,0,5
177,3223,2023-07-23,Technical,High,6.3,1,2
178,12497,2024-06-05,Login,Low,31.4,0,2
179,12193,2024-06-16,Payment,Low,40.5,0,4
180,5486,2024-06-30,Technical,Medium,11.9,0,5
181,1569,2024-09-20,Payment,High,35.7,0,1
182,4657,2024-07-20,Technical,High,12.1,1,5
183,1536,2023-11-23,Login,Medium,38.2,1,5
184,2572,2024-04-13,Login,Low,27.4,1,3
185,4392,2023-09-23,Technical,Medium,3.8,1,5
186,19518,2024-02-25,Technical,Low,37.2,1,2
187,12751,2023-04-20,Login,Medium,45.3,0,2
188,1903,2024-08-14,Content,Low,15.8,1,1
189,11112,2024-05-16,Other,Medium,5.3,1,1
190,9686,2023-12-25,Other,Low,47.2,1,2
191,14768,2023-05-26,Login,Low,5.4,1,5
192,8514,2023-04-18,Payment,Low,27.1,1,5
193,11077,2024-10-04,Payment,Low,15.1,1,5
194,14073,2023-04-19,Other,Medium,25.2,0,1
195,12794,2024-04-20,Login,High,7.7,0,5
196,14294,2023-02-19,Technical,Medium,3.6,0,5
197,980,2024-07-25,Technical,High,19.5,1,3
198,1275,2023-10-12,Other,Low,29.6,0,1
199,16483,2023-08-04,Content,Low,34.6,0,2
200,16226,2023-05-08,Content,Low,12.4,1,2
201,9784,2024-08-07,Technical,Low,2.8,0,2
202,15140,2024-08-03,Payment,High,7.0,0,2
203,848,2024-09-06,Login,Low,11.0,1,3
204,6633,2024-03-07,Content,Medium,40.1,0,3
205,7961,2023-09-15,Payment,High,18.5,1,2
206,3820,2023-08-16,Content,High,8.6,0,4
207,2185,2023-05-14,Payment,Medium,27.1,1,5
208,18292,2023-03-18,Content,High,6.3,1,3
209,9875,2024-09-28,Login,Low,14.7,1,2
210,5913,2023-09-25,Other,Medium,31.1,0,4
211,3810,2024-08-31,Login,Low,33.0,0,3
212,12379,2024-04-09,Content,High,4.1,0,2
213,14595,2024-04-06,Content,Low,20.5,1,3
214,11185,2023-11-29,Payment,Low,3.6,1,2
215,1873,2024-02-10,Other,Medium,34.1,1,2
216,6426,2024-03-20,Technical,High,23.3,1,4
217,2200,2024-12-06,Payment,Low,4.8,1,3
218,18512,2023-05-27,Other,Medium,28.1,1,1
219,17666,2023-12-16,Content,Medium,9.2,1,3
220,10632,2024-02-18,Other,High,46.4,1,4
221,4467,2024-07-31,Login,Low,19.6,1,4
222,914,2023-01-19,Content,Medium,12.6,1,3
223,146,2024-07-03,Payment,Low,3.5,0,4
224,4672,2024-12-08,Other,Medium,15.6,0,4
225,5907,2023-09-30,Technical,High,14.4,0,5
226,18720,2023-05-11,Payment,Medium,17.6,0,4
227,10725,2023-06-12,Payment,Low,32.0,0,2
228,8604,2023-07-03,Other,High,29.0,1,5
229,10863,2024-09-21,Other,High,41.4,1,4
230,18455,2023-05-13,Other,Low,13.5,0,5
231,15081,2023-03-30,Content,High,40.5,1,1
232,18985,2024-03-04,Other,Low,8.9,0,3
233,14332,2023-03-26,Payment,Low,18.6,1,4
234,203,2024-09-05,Content,High,11.9,1,4
235,4392,2023-11-11,Technical,Medium,13.8,0,5
236,2487,2023-01-27,Payment,Low,30.3,1,3
237,17102,2024-07-08,Payment,Medium,7.2,0,3
238,14972,2024-02-04,Login,Medium,39.9,1,3
239,3808,2023-04-17,Login,Low,46.3,0,3
240,17496,2023-11-01,Other,Medium,17.5,0,3
241,13668,2023-03-29,Login,High,7.6,0,1
242,15583,2023-07-19,Content,Low,47.6,0,3
243,324,2024-11-09,Technical,Low,30.9,1,2
244,6123,2024-08-07,Other,Medium,14.9,0,5
245,4487,2024-01-09,Content,High,33.5,1,4
246,2724,2023-03-23,Payment,Low,25.6,1,5
247,10990,2023-01-16,Content,Low,4.1,1,1
248,14492,2024-07-18,Content,Medium,30.9,1,2
249,4120,2024-12-21,Login,Medium,46.7,1,4
250,19972,2024-08-27,Payment,High,31.1,0,1
251,16495,2023-01-20,Other,Low,44.4,0,4
252,6654,2024-01-20,Login,High,32.5,0,5
253,10593,2023-03-08,Login,Medium,30.5,1,3
254,12500,2024-04-01,Technical,Low,33.2,1,5
255,19204,2024-01-11,Payment,Low,37.0,1,1
256,14871,2023-06-29,Other,High,33.2,0,5
257,18611,2024-07-17,Content,Low,20.6,1,5
258,17333,2023-08-24,Technical,High,13.2,0,2
259,17023,2023-04-27,Login,Low,7.2,0,2
260,6739,2024-07-04,Content,High,28.8,0,5
261,4792,2023-11-19,Login,Medium,33.9,0,1
262,11882,2023-07-23,Payment,Medium,41.9,1,3
263,610,2023-01-31,Technical,Low,39.2,0,3
264,4742,2024-09-09,Technical,Medium,43.9,1,3
265,18236,2023-04-14,Login,High,3.6,1,2
266,359,2023-11-04,Technical,Medium,25.4,0,4
267,5634,2023-01-12,Login,Low,46.0,0,1
268,19160,2023-11-16,Login,Medium,35.6,0,5
269,18710,2024-04-23,Content,Medium,33.3,0,5
270,17712,2024-06-07,Content,Medium,18.0,1,2
271,11572,2024-02-20,Content,Low,27.5,0,3
272,11044,2023-09-30,Payment,High,18.4,1,4
273,18566,2024-10-26,Payment,High,5.5,0,3
274,19266,2024-02-25,Technical,High,19.7,1,5
275,17574,2024-09-27,Login,Medium,20.5,0,2
276,9882,2024-09-26,Other,Low,3.0,0,3
277,447,2023-12-15,Technical,High,36.7,1,2
278,12392,2024-12-28,Login,High,28.6,1,1
279,7947,2023-07-05,Login,Low,37.1,0,5
280,13348,2023-08-27,Payment,Medium,25.6,0,1
281,5732,2024-03-18,Payment,Medium,44.9,1,5
282,3177,2024-01-11,Technical,Medium,9.8,1,5
283,12729,2023-07-13,Payment,High,43.0,1,2
284,6227,2023-12-04,Content,High,18.5,1,5
285,10243,2024-12-24,Login,Medium,7.4,0,2
286,1388,2023-09-16,Payment,Low,42.8,1,2
287,16315,2023-06-30,Technical,High,33.2,1,4
288,3930,2023-02-09,Payment,Low,15.2,0,2
289,13680,2024-10-06,Other,High,36.2,0,5
290,12602,2023-04-15,Login,Medium,46.9,1,4
291,8344,2023-07-15,Payment,Medium,18.9,0,5
292,18335,2023-07-25,Other,Medium,29.9,1,2
293,9488,2024-10-22,Content,High,44.2,0,3
294,19706,2023-11-25,Other,Medium,11.0,0,1
295,8088,2024-08-03,Other,Medium,34.5,1,1
296,13530,2023-04-05,Login,High,32.0,0,1
297,16669,2023-05-18,Login,Medium,3.6,0,3
298,12642,2023-12-30,Payment,Medium,5.6,1,2
299,17312,2024-07-10,Content,High,9.3,0,3
300,7542,2023-05-14,Technical,Medium,23.7,1,4
301,19635,2024-04-24,Technical,Low,17.1,0,1
302,826,2023-03-03,Content,High,47.4,1,2
303,19912,2023-12-20,Technical,Medium,16.1,1,1
304,1713,2024-04-12,Content,High,46.8,1,5
305,13934,2024-09-24,Technical,Medium,45.3,1,5
306,3789,2023-06-05,Other,Low,35.0,1,3
307,14949,2023-11-05,Payment,Low,46.8,1,2
308,5116,2023-02-07,Login,Medium,2.8,0,3
309,10020,2024-04-14,Login,High,12.4,0,2
310,1129,2024-10-07,Login,Medium,13.3,0,3
311,8018,2023-06-29,Technical,Medium,26.3,1,5
312,5112,2024-06-30,Payment,High,8.0,0,5
313,710,2023-02-23,Technical,Low,5.5,0,5
314,5630,2024-02-01,Payment,Low,25.4,0,2
315,14128,2023-06-20,Technical,Medium,31.2,1,3
316,12861,2024-11-13,Content,Low,46.1,1,2
317,1003,2023-05-26,Payment,Low,21.5,1,4
318,6245,2024-05-15,Login,Medium,8.8,1,2
319,12845,2024-12-14,Content,High,25.1,0,5
320,3306,2024-08-24,Technical,High,31.6,0,2
321,13280,2024-03-27,Technical,Low,28.1,0,4
322,19094,2023-01-16,Content,Low,42.5,0,3
323,7079,2024-05-11,Login,High,24.3,0,5
324,19991,2023-02-07,Technical,Medium,47.4,1,3
325,3063,2024-03-05,Content,High,25.5,0,4
326,12869,2023-06-21,Login,Low,47.6,1,3
327,14299,2024-02-02,Payment,Low,14.1,0,3
328,1813,2024-11-14,Technical,Medium,37.8,0,5
329,11411,2024-06-11,Login,High,12.7,1,1
330,12620,2023-05-23,Payment,Medium,34.5,1,3
331,16518,2024-06-06,Technical,High,26.2,1,1
332,14618,2023-02-14,Payment,Low,37.0,0,1
333,10288,2023-12-29,Content,Medium,6.9,0,5
334,7068,2023-09-19,Payment,High,27.8,0,3
335,16418,2023-05-19,Login,Medium,16.1,0,5
336,7419,2024-04-22,Technical,Medium,10.0,1,4
337,5367,2023-12-28,Other,Medium,8.4,1,5
338,5296,2023-07-15,Login,Medium,13.5,1,4
339,7577,2024-11-30,Content,High,39.1,1,3
340,654,2024-01-17,Login,Medium,21.4,0,5
341,14927,2024-06-25,Payment,Low,15.8,0,5
342,4790,2023-05-05,Content,Medium,41.2,1,3
343,12147,2023-08-06,Payment,Low,33.2,0,3
344,6713,2023-02-16,Other,Medium,22.5,1,4
345,16895,2023-01-18,Technical,Medium,18.0,1,5
346,4207,2024-11-05,Payment,High,31.3,0,1
347,18331,2024-05-30,Other,High,22.1,1,1
348,16077,2024-07-05,Technical,High,2.4,1,3
349,19416,2023-02-02,Technical,Low,39.5,1,5
350,288,2023-12-08,Content,Low,33.5,0,3
351,4921,2024-11-06,Login,Medium,28.3,0,3
352,1413,2024-12-26,Content,High,9.8,1,5
353,366,2023-04-30,Login,High,19.8,0,3
354,19916,2023-07-13,Technical,Low,24.3,0,1
355,16532,2024-08-22,Other,Medium,27.4,1,4
356,11446,2023-01-16,Content,High,37.2,1,1
357,937,2024-05-23,Payment,High,4.7,1,2
358,18961,2023-10-01,Content,Medium,3.7,0,4
359,15868,2024-11-04,Other,High,22.0,0,5
360,490,2023-11-03,Other,Medium,17.6,0,2
361,7575,2024-05-02,Other,Medium,14.7,0,2
362,6408,2024-09-19,Content,Medium,15.3,1,1
363,12033,2023-12-26,Technical,High,43.3,1,2
364,10710,2024-03-22,Other,Medium,39.8,0,3
365,38,2023-09-10,Content,Medium,47.2,0,5
366,7452,2023-03-13,Technical,Medium,10.3,1,5
367,9148,2024-02-07,Other,Low,48.0,0,3
368,12037,2023-12-03,Content,Low,17.0,1,3
369,18186,2024-07-22,Payment,High,30.0,0,1
370,769,2024-03-19,Login,High,44.3,0,3
371,5095,2023-08-27,Payment,Low,29.3,1,3
372,13872,2023-08-23,Login,Medium,47.1,0,3
373,2676,2023-11-23,Technical,Medium,27.3,1,4
374,16051,2023-10-02,Technical,Medium,9.1,1,1
375,14393,2023-03-04,Payment,Medium,43.0,0,4
376,5557,2024-04-09,Technical,Low,15.2,0,2
377,17067,2024-11-20,Other,Low,41.7,0,5
378,11754,2023-10-29,Other,High,46.1,1,4
379,1586,2024-03-21,Login,High,40.6,0,4
380,7734,2024-03-26,Other,High,35.7,1,4
381,15439,2023-12-08,Payment,Medium,44.0,1,5
382,11799,2024-12-18,Other,High,25.4,0,5
383,8861,2024-06-12,Login,Medium,45.5,1,5
384,17987,2024-06-16,Login,Medium,14.8,0,1
385,14688,2024-04-24,Content,Medium,40.4,1,4
386,387,2024-05-24,Payment,Low,7.8,0,3
387,4589,2024-12-29,Payment,Low,37.2,1,4
388,11616,2023-02-27,Login,High,39.0,0,1
389,4282,2023-03-29,Login,High,12.5,0,2
390,5716,2024-11-19,Payment,Low,17.8,0,2
391,1613,2024-11-16,Login,Low,12.8,1,4
392,2264,2024-06-03,Other,Low,22.1,0,5
393,326,2023-02-28,Login,Low,16.0,0,2
394,4565,2024-09-04,Payment,Medium,36.6,0,4
395,18932,2024-09-28,Login,Medium,10.8,1,3
396,11625,2024-08-14,Other,High,39.9,1,1
397,14112,2024-10-21,Payment,Medium,16.5,1,2
398,13333,2023-10-31,Login,High,38.1,1,5
399,15333,2023-01-29,Payment,Low,11.8,1,3
400,1027,2023-09-22,Technical,Low,20.9,0,5
401,2620,2023-08-09,Content,High,13.8,0,1
402,16741,2023-12-13,Login,Medium,43.1,1,5
403,16430,2024-01-18,Payment,Medium,26.2,0,4
404,11618,2023-02-20,Login,Low,30.2,1,1
405,2649,2024-08-11,Content,High,25.8,1,4
406,6927,2024-08-17,Login,High,34.3,1,5
407,19058,2023-11-07,Login,Low,18.1,0,4
408,16567,2024-07-24,Technical,Medium,17.1,1,5
409,11407,2024-11-29,Other,Low,30.2,1,3
410,11220,2023-11-27,Other,High,7.3,1,3
411,13591,2024-01-04,Other,Medium,26.5,1,4
412,12215,2023-07-30,Other,Medium,27.4,1,5
413,6752,2023-04-04,Login,Medium,40.0,1,5
414,15728,2024-07-22,Payment,Low,37.0,0,4
415,19134,2023-10-05,Payment,High,34.0,1,4
416,16213,2024-03-14,Technical,Low,40.9,1,2
417,5631,2023-04-06,Payment,Low,44.9,1,1
418,7651,2024-05-03,Content,High,27.8,0,5
419,18134,2023-11-06,Technical,Medium,36.6,0,4
420,13139,2024-01-29,Content,Medium,47.9,0,1
421,2592,2023-03-31,Payment,Medium,36.2,0,4
422,19938,2024-02-26,Payment,High,32.0,1,4
423,3005,2023-02-21,Content,Medium,37.7,0,1
424,11011,2023-08-08,Payment,Low,30.7,0,2
425,5258,2023-07-25,Content,Medium,1.4,0,5
426,18448,2024-12-12,Content,Low,3.7,0,5
427,18711,2024-06-02,Content,High,37.5,0,5
428,11414,2024-11-29,Payment,High,43.8,0,5
429,11167,2023-05-12,Login,Medium,21.7,0,1
430,1839,2024-05-21,Login,Low,9.1,1,2
431,19184,2024-12-08,Login,Medium,2.7,1,2
432,19462,2023-02-07,Payment,High,33.8,1,3
433,16769,2023-05-12,Technical,Medium,3.1,0,1
434,2363,2023-11-26,Content,Low,31.9,0,5
435,18382,2024-09-01,Technical,High,47.7,0,4
436,4595,2024-05-13,Other,Low,43.3,0,3
437,19435,2023-06-18,Login,High,35.0,0,4
438,433,2023-12-04,Login,High,12.7,0,2
439,11030,2024-11-24,Content,Low,1.4,1,3
440,17037,2024-01-06,Login,Low,40.8,1,4
441,596,2023-05-03,Other,Medium,32.3,1,2
442,9981,2024-12-02,Login,Medium,44.7,0,2
443,15538,2024-03-26,Login,Medium,31.4,0,2
444,2048,2024-05-22,Technical,Low,7.9,0,3
445,2877,2023-08-04,Other,Low,26.2,1,3
446,9213,2024-03-07,Content,High,24.4,1,2
447,15263,2023-08-24,Content,High,32.1,0,4
448,2637,2023-12-04,Technical,Low,47.1,1,4
449,3115,2023-02-19,Login,Low,1.4,0,2
450,12373,2023-10-03,Technical,Medium,41.0,1,1
451,3141,2023-11-22,Payment,High,31.9,1,3
452,18455,2024-07-02,Other,Low,33.6,0,1
453,5667,2023-08-14,Content,Medium,34.9,1,5
454,711,2023-06-19,Login,High,25.9,0,3
455,2511,2023-11-20,Other,Medium,13.4,0,2
456,14323,2024-06-25,Login,Medium,26.1,1,1
457,13115,2023-02-16,Technical,Medium,39.0,1,5
458,15106,2023-11-26,Technical,Medium,16.3,0,5
459,246,2023-11-03,Content,High,20.5,0,3
460,16490,2024-01-10,Content,High,15.4,1,4
461,13445,2023-03-18,Payment,Medium,36.0,1,1
462,13290,2024-07-30,Payment,High,21.0,1,2
463,14096,2024-06-26,Content,Medium,8.1,0,3
464,10161,2024-09-25,Other,Medium,33.7,0,1
465,18586,2024-03-08,Payment,High,35.9,1,1
466,19036,2024-08-01,Payment,Low,13.3,0,1
467,11896,2023-02-16,Other,High,34.8,0,1
468,9856,2023-04-29,Technical,Low,5.1,1,4
469,14902,2023-06-13,Content,High,24.3,0,1
470,16386,2023-06-09,Content,High,41.2,1,5
471,14066,2024-08-19,Payment,Medium,35.6,0,1
472,9725,2024-09-03,Other,Low,31.0,0,4
473,13825,2023-03-03,Content,Medium,15.5,1,5
474,19901,2024-03-31,Other,Low,12.0,1,3
475,8010,2023-11-16,Other,High,42.8,0,1
476,7551,2023-03-16,Other,High,15.7,1,5
477,17063,2024-12-28,Login,High,21.2,0,2
478,13092,2024-10-04,Technical,High,6.2,0,5
479,5620,2024-11-14,Content,High,42.7,0,5
480,19112,2024-06-13,Payment,Low,27.6,0,1
481,7133,2023-08-12,Login,Low,40.0,1,4
482,14997,2023-07-16,Other,Low,7.2,0,1
483,17803,2024-05-10,Payment,High,9.0,0,1
484,2755,2023-06-29,Content,High,38.4,1,1
485,14886,2024-01-14,Login,Medium,18.6,0,4
486,3310,2024-12-30,Technical,Medium,22.7,1,5
487,2695,2024-06-14,Other,High,40.5,1,1
488,12521,2023-09-02,Login,High,14.6,1,4
489,8290,2024-02-29,Login,Medium,36.4,0,5
490,11542,2023-12-29,Technical,Medium,28.4,0,5
491,1544,2023-09-24,Other,Low,37.2,1,1
492,5976,2023-12-09,Payment,Low,21.9,1,5
493,11014,2023-01-23,Other,Low,20.0,1,1
494,10118,2024-07-12,Technical,High,25.2,0,5
495,7064,2024-01-14,Content,High,27.6,0,4
496,4187,2023-03-23,Login,Low,20.8,0,5
497,1231,2023-12-05,Technical,Low,20.2,1,3
498,9442,2024-04-09,Login,High,44.4,1,1
499,13094,2023-09-23,Payment,Low,20.7,1,1
500,5490,2024-08-24,Payment,Medium,38.3,0,4
501,6000,2024-08-06,Payment,High,5.6,1,5
502,13475,2024-09-01,Login,High,14.8,1,3
503,9072,2024-01-14,Technical,High,9.0,1,2
504,825,2023-07-17,Payment,Low,20.8,1,1
505,19044,2024-07-05,Login,High,24.9,0,3
506,9360,2023-05-10,Other,Medium,26.0,1,1
507,13669,2024-10-23,Content,High,10.1,0,5
508,7625,2024-04-30,Login,High,17.6,0,1
509,6709,2024-11-01,Payment,Low,19.6,1,1
510,14521,2024-12-18,Content,Low,36.1,1,1
511,14895,2023-04-19,Technical,Low,39.5,0,5
512,4378,2023-05-27,Technical,High,3.8,1,2
513,1421,2023-06-18,Login,Medium,15.8,0,2
514,18507,2023-10-22,Other,High,38.1,0,1
515,2487,2023-06-20,Payment,High,46.6,1,5
516,17430,2024-07-26,Payment,Low,21.7,1,2
517,10438,2024-07-17,Other,Low,21.2,1,3
518,4002,2023-06-29,Other,Medium,31.8,1,1
519,17248,2023-06-07,Payment,Low,43.8,1,3
520,15817,2024-03-22,Content,Low,44.7,1,3
521,17702,2024-09-11,Technical,High,1.2,1,1
522,17189,2024-03-19,Content,High,12.9,0,1
523,8848,2023-05-03,Technical,High,29.0,1,1
524,18772,2024-02-16,Login,High,3.2,0,5
525,5017,2024-09-08,Payment,Low,24.4,0,5
526,9395,2024-02-22,Content,High,16.0,1,2
527,197,2024-12-12,Technical,Low,22.0,0,4
528,5428,2024-08-08,Technical,High,8.3,0,4
529,16473,2023-03-21,Content,High,7.6,0,5
