subscription_id,customer_id,plan_id,start_date,end_date,is_auto_renew,current_status,cancellation_reason
80,5714,2,2023-11-08,2024-02-06,1,Active,
81,11331,1,2024-03-08,2024-04-07,0,Active,
82,15626,2,2023-11-22,2024-02-20,1,Active,
83,14944,1,2024-01-19,2024-02-18,1,Active,
84,18363,3,2023-11-02,2024-10-27,1,Active,
85,2484,2,2023-04-07,2023-07-06,1,Active,
86,1251,3,2024-08-29,2025-08-24,1,Active,
87,9197,2,2024-01-27,2024-04-26,0,Cancelled,Found Alternative
88,16717,3,2023-06-18,2024-06-12,0,Active,
89,3817,1,2023-11-07,2023-12-07,0,Active,
90,651,3,2024-10-14,2025-10-09,0,Active,
91,413,2,2023-04-01,2023-06-30,0,Active,
92,19239,3,2024-07-03,2025-06-28,0,Active,
93,13612,2,2023-10-06,2024-01-04,1,Active,
94,16981,1,2024-01-14,2024-02-13,0,Active,
95,3975,2,2023-12-26,2024-03-25,0,Cancelled,Found Alternative
96,14722,1,2023-10-16,2023-11-15,0,Active,
97,12114,1,2023-10-29,2023-11-28,1,Active,
98,14791,2,2024-06-26,2024-09-24,0,Active,
99,16214,2,2023-08-31,2023-11-29,0,Active,
100,18226,1,2023-12-31,2024-01-30,0,Cancelled,
101,8495,1,2024-06-21,2024-07-21,0,Active,
102,7518,1,2023-03-04,2023-04-03,0,Active,
103,11654,1,2024-03-18,2024-04-17,0,Active,
104,6816,2,2023-08-07,2023-11-05,1,Active,
105,2815,3,2024-01-05,2024-12-30,0,Cancelled,Too Expensive
106,2691,3,2023-01-20,2024-01-15,1,Active,
107,14784,1,2023-04-30,2023-05-30,1,Active,
108,17005,3,2023-03-28,2024-03-22,1,Active,
109,7047,1,2023-08-15,2023-09-14,0,Active,
110,1101,2,2023-05-29,2023-08-27,0,Active,
111,9889,1,2024-04-19,2024-05-19,1,Active,
112,18688,1,2024-05-31,2024-06-30,0,Active,
113,17900,2,2023-03-06,2023-06-04,1,Cancelled,
114,6829,3,2023-04-16,2024-04-10,0,Active,
115,4898,1,2024-07-08,2024-08-07,1,Active,
116,13518,3,2023-08-26,2024-08-20,1,Active,
117,1253,2,2024-04-02,2024-07-01,0,Cancelled,
118,18827,1,2024-04-08,2024-05-08,1,Active,
119,15798,1,2024-03-23,2024-04-22,1,Active,
120,3176,3,2024-03-05,2025-02-28,0,Active,
121,6112,2,2023-04-13,2023-07-12,0,Active,
122,12150,2,2024-03-14,2024-06-12,1,Active,
123,7469,1,2023-05-31,2023-06-30,0,Active,
124,954,1,2023-06-09,2023-07-09,1,Active,
125,16603,1,2023-02-13,2023-03-15,1,Active,
126,8106,2,2024-06-14,2024-09-12,1,Active,
127,11542,2,2023-01-26,2023-04-26,0,Active,
128,8708,2,2024-06-02,2024-08-31,1,Active,
129,7057,1,2023-03-25,2023-04-24,0,Cancelled,
130,13349,2,2024-04-02,2024-07-01,0,Active,
131,6742,1,2024-01-15,2024-02-14,0,Active,
132,3758,3,2024-04-25,2025-04-20,0,Active,
133,12959,3,2023-11-08,2024-11-02,1,Active,
134,15909,3,2023-09-02,2024-08-27,0,Active,
135,7878,2,2024-05-21,2024-08-19,0,Active,
136,10270,3,2023-02-01,2024-01-27,1,Active,
137,6952,3,2024-11-04,2025-10-30,0,Active,
138,18860,3,2024-08-25,2025-08-20,1,Active,
139,16813,2,2024-03-07,2024-06-05,1,Active,
140,7112,3,2023-05-06,2024-04-30,1,Active,
141,8254,3,2024-03-24,2025-03-19,1,Active,
142,10995,3,2023-03-13,2024-03-07,0,Cancelled,Too Expensive
143,16896,1,2024-01-22,2024-02-21,0,Active,
144,18239,1,2024-02-07,2024-03-08,1,Active,
145,3885,3,2023-07-18,2024-07-12,0,Active,
146,14646,2,2024-04-21,2024-07-20,1,Active,
147,3800,2,2023-05-14,2023-08-12,0,Active,
148,2301,2,2023-07-29,2023-10-27,0,Active,
149,10917,1,2024-02-13,2024-03-14,0,Cancelled,Too Expensive
150,4059,3,2024-03-01,2025-02-24,0,Cancelled,Found Alternative
151,13652,2,2024-10-24,2025-01-22,0,Active,
152,5311,2,2023-04-09,2023-07-08,1,Active,
153,6843,3,2024-05-27,2025-05-22,0,Active,
154,3793,3,2024-09-30,2025-09-25,1,Cancelled,Too Expensive
155,10320,1,2024-03-30,2024-04-29,1,Cancelled,Found Alternative
156,19927,2,2023-02-02,2023-05-03,1,Active,
157,16628,2,2023-01-29,2023-04-29,0,Active,
158,14444,3,2024-08-01,2025-07-27,1,Active,
159,18283,3,2023-01-11,2024-01-06,0,Active,
160,14345,2,2024-07-11,2024-10-09,1,Active,
161,19355,1,2024-04-18,2024-05-18,1,Active,
162,12838,2,2023-04-23,2023-07-22,1,Cancelled,Found Alternative
163,11495,1,2023-12-11,2024-01-10,0,Active,
164,18010,3,2023-07-13,2024-07-07,1,Active,
165,19356,1,2024-08-26,2024-09-25,0,Active,
166,1223,1,2023-11-23,2023-12-23,0,Cancelled,Too Expensive
167,7561,3,2023-08-24,2024-08-18,0,Cancelled,Too Expensive
168,9561,1,2023-03-28,2023-04-27,0,Active,
169,1784,1,2024-01-29,2024-02-28,0,Active,
170,8461,1,2024-03-12,2024-04-11,1,Active,
171,17923,2,2024-05-29,2024-08-27,0,Active,
172,1808,2,2023-11-26,2024-02-24,1,Active,
173,15180,2,2024-02-06,2024-05-06,1,Active,
174,15196,1,2023-12-16,2024-01-15,0,Cancelled,Not Using Enough
175,17619,1,2023-04-26,2023-05-26,0,Active,
176,6533,3,2023-11-12,2024-11-06,0,Active,
177,14464,3,2024-04-26,2025-04-21,0,Cancelled,Found Alternative
178,1715,3,2023-11-16,2024-11-10,0,Active,
179,16972,3,2023-05-10,2024-05-04,1,Active,
180,8327,3,2024-08-19,2025-08-14,1,Active,
181,16222,3,2024-02-12,2025-02-06,0,Cancelled,Too Expensive
182,7643,1,2023-07-06,2023-08-05,0,Active,
183,8004,3,2024-03-24,2025-03-19,0,Cancelled,
184,14350,2,2023-12-04,2024-03-03,0,Active,
185,14838,3,2024-09-29,2025-09-24,0,Cancelled,Not Using Enough
186,1603,3,2023-08-15,2024-08-09,1,Active,
187,611,2,2024-04-15,2024-07-14,1,Active,
188,18064,3,2023-03-22,2024-03-16,1,Active,
189,10727,2,2024-08-11,2024-11-09,0,Active,
190,12896,1,2024-10-06,2024-11-05,1,Active,
191,18649,1,2023-09-12,2023-10-12,1,Active,
192,17699,2,2023-09-13,2023-12-12,1,Active,
193,3160,1,2023-02-06,2023-03-08,1,Cancelled,Too Expensive
194,6243,2,2023-07-10,2023-10-08,0,Active,
195,1565,2,2023-05-17,2023-08-15,0,Active,
196,4482,3,2024-01-18,2025-01-12,0,Active,
197,4170,1,2024-01-07,2024-02-06,0,Active,
198,17525,1,2024-05-05,2024-06-04,0,Active,
199,7763,3,2023-01-22,2024-01-17,0,Active,
200,8339,2,2024-04-06,2024-07-05,1,Active,
201,9358,1,2023-03-21,2023-04-20,0,Active,
202,19142,3,2024-02-12,2025-02-06,1,Active,
203,7303,2,2023-11-17,2024-02-15,0,Cancelled,
204,2473,1,2023-01-14,2023-02-13,0,Active,
205,1301,3,2023-09-02,2024-08-27,0,Active,
206,19880,3,2024-04-20,2025-04-15,0,Active,
207,12934,1,2023-05-28,2023-06-27,0,Active,
208,14376,3,2024-07-07,2025-07-02,1,Active,
209,17960,3,2024-07-22,2025-07-17,1,Cancelled,Found Alternative
210,17987,2,2024-04-20,2024-07-19,0,Active,
211,15140,3,2024-08-27,2025-08-22,0,Active,
212,11028,2,2023-10-19,2024-01-17,1,Active,
213,5821,2,2023-09-23,2023-12-22,0,Active,
214,11041,1,2023-12-13,2024-01-12,0,Active,
215,17707,2,2023-02-12,2023-05-13,1,Active,
216,11162,3,2024-04-19,2025-04-14,0,Active,
217,1768,3,2023-01-11,2024-01-06,0,Active,
218,12374,1,2024-03-24,2024-04-23,0,Active,
219,17474,2,2023-12-18,2024-03-17,0,Active,
220,13659,2,2024-05-31,2024-08-29,0,Active,
221,1338,3,2024-09-12,2025-09-07,1,Cancelled,
222,12328,3,2023-12-16,2024-12-10,0,Cancelled,
223,1320,1,2023-07-10,2023-08-09,0,Active,
224,18058,1,2023-09-04,2023-10-04,1,Active,
225,79,1,2023-02-12,2023-03-14,1,Active,
226,919,3,2023-07-15,2024-07-09,1,Cancelled,Too Expensive
227,5443,2,2023-11-15,2024-02-13,0,Cancelled,Too Expensive
228,14289,1,2024-03-17,2024-04-16,0,Cancelled,Found Alternative
229,16881,3,2024-08-24,2025-08-19,0,Cancelled,Found Alternative
230,4600,3,2024-02-06,2025-01-31,1,Active,
231,15581,2,2024-11-17,2025-02-15,0,Active,
232,3535,1,2023-11-24,2023-12-24,1,Active,
233,17714,2,2023-05-06,2023-08-04,0,Active,
234,3763,2,2023-05-12,2023-08-10,0,Active,
235,14996,1,2023-11-03,2023-12-03,0,Cancelled,Too Expensive
236,19386,1,2023-11-14,2023-12-14,0,Cancelled,Found Alternative
237,8229,3,2023-10-01,2024-09-25,0,Active,
238,1237,1,2023-11-09,2023-12-09,1,Cancelled,Not Using Enough
239,10394,1,2023-03-28,2023-04-27,0,Cancelled,Found Alternative
240,14280,1,2023-01-07,2023-02-06,1,Active,
241,10627,2,2023-03-27,2023-06-25,1,Cancelled,
242,13611,1,2023-10-30,2023-11-29,0,Active,
243,2337,2,2024-11-06,2025-02-04,1,Active,
244,3626,2,2023-10-10,2024-01-08,0,Active,
245,18618,1,2024-04-17,2024-05-17,1,Active,
246,4526,3,2023-09-18,2024-09-12,0,Active,
247,10589,2,2023-09-07,2023-12-06,0,Active,
248,3856,2,2023-10-18,2024-01-16,0,Active,
249,8046,2,2024-08-26,2024-11-24,0,Active,
250,7649,2,2023-04-18,2023-07-17,1,Active,
251,345,3,2023-03-09,2024-03-03,0,Active,
252,19456,2,2023-03-14,2023-06-12,1,Cancelled,Not Using Enough
253,19238,3,2024-01-02,2024-12-27,1,Active,
254,15279,1,2023-09-01,2023-10-01,1,Active,
255,1808,2,2023-11-18,2024-02-16,1,Active,
256,8621,2,2023-07-02,2023-09-30,1,Active,
257,11312,3,2023-08-16,2024-08-10,0,Cancelled,
258,15417,2,2024-10-04,2025-01-02,0,Cancelled,Too Expensive
259,9400,1,2023-12-23,2024-01-22,1,Active,
260,12603,3,2024-05-20,2025-05-15,1,Active,
261,9918,1,2023-11-17,2023-12-17,1,Active,
262,1325,2,2023-12-01,2024-02-29,1,Active,
263,4132,2,2024-04-08,2024-07-07,0,Active,
264,15517,3,2024-02-27,2025-02-21,0,Active,
265,10346,1,2024-06-28,2024-07-28,1,Active,
266,17069,1,2024-10-12,2024-11-11,1,Active,
267,1545,1,2023-03-25,2023-04-24,1,Cancelled,
268,8093,2,2023-05-31,2023-08-29,0,Cancelled,Found Alternative
269,18143,3,2023-10-18,2024-10-12,0,Cancelled,
270,4255,1,2024-01-27,2024-02-26,1,Cancelled,Too Expensive
271,6733,3,2024-09-08,2025-09-03,1,Active,
272,12948,2,2024-06-29,2024-09-27,0,Active,
273,8629,1,2023-09-06,2023-10-06,1,Cancelled,Not Using Enough
274,15208,2,2023-02-28,2023-05-29,0,Cancelled,Found Alternative
275,7374,3,2023-01-11,2024-01-06,0,Active,
276,6593,3,2023-08-26,2024-08-20,1,Active,
277,7182,1,2023-11-04,2023-12-04,1,Cancelled,
278,5252,3,2024-01-09,2025-01-03,1,Cancelled,Not Using Enough
279,16377,1,2023-01-29,2023-02-28,1,Active,
280,18124,2,2023-01-11,2023-04-11,0,Active,
281,978,3,2023-11-20,2024-11-14,0,Active,
282,6328,2,2024-06-01,2024-08-30,0,Active,
283,7644,3,2024-11-08,2025-11-03,0,Active,
284,8311,3,2024-08-11,2025-08-06,0,Cancelled,Not Using Enough
285,2071,2,2023-11-06,2024-02-04,0,Active,
286,17158,3,2024-02-14,2025-02-08,0,Cancelled,Too Expensive
287,510,1,2023-03-02,2023-04-01,1,Active,
288,14346,1,2024-03-22,2024-04-21,1,Active,
289,14011,2,2024-11-13,2025-02-11,0,Active,
290,9097,2,2023-04-18,2023-07-17,0,Active,
291,6968,3,2024-11-19,2025-11-14,1,Cancelled,Not Using Enough
292,5841,3,2023-07-05,2024-06-29,0,Active,
293,4807,1,2023-04-17,2023-05-17,1,Active,
294,19815,3,2023-06-06,2024-05-31,1,Cancelled,
295,3036,2,2024-08-12,2024-11-10,1,Active,
296,19205,3,2024-10-01,2025-09-26,0,Active,
297,8129,1,2024-01-02,2024-02-01,0,Active,
298,19662,2,2024-08-10,2024-11-08,1,Active,
299,4124,2,2023-08-31,2023-11-29,1,Active,
300,1874,2,2024-05-20,2024-08-18,1,Active,
301,1698,3,2023-10-29,2024-10-23,0,Cancelled,Too Expensive
302,4530,3,2024-07-29,2025-07-24,1,Active,
303,14683,1,2023-01-23,2023-02-22,1,Active,
304,6445,1,2024-11-02,2024-12-02,1,Active,
305,5381,2,2023-05-19,2023-08-17,1,Cancelled,Not Using Enough
306,906,2,2023-09-17,2023-12-16,1,Active,
307,4986,2,2023-06-05,2023-09-03,1,Active,
308,12893,1,2024-07-26,2024-08-25,1,Cancelled,Found Alternative
309,6647,2,2023-09-18,2023-12-17,0,Active,
310,7835,3,2024-06-07,2025-06-02,0,Active,
311,5589,2,2023-10-31,2024-01-29,0,Active,
312,8042,2,2024-02-09,2024-05-09,0,Active,
313,7222,1,2023-11-22,2023-12-22,1,Cancelled,Not Using Enough
314,3089,1,2024-11-19,2024-12-19,0,Active,
315,6332,3,2024-04-11,2025-04-06,1,Active,
316,18435,3,2023-09-01,2024-08-26,0,Active,
317,12997,1,2024-08-09,2024-09-08,0,Active,
318,16846,3,2024-11-27,2025-11-22,0,Active,
319,3522,2,2024-07-22,2024-10-20,0,Active,
320,9454,3,2023-02-02,2024-01-28,1,Active,
321,17238,3,2023-01-09,2024-01-04,1,Active,
322,15323,1,2024-10-25,2024-11-24,0,Active,
323,19909,1,2023-04-07,2023-05-07,1,Active,
324,18564,1,2024-02-23,2024-03-24,1,Active,
325,1159,2,2024-06-04,2024-09-02,0,Active,
326,15738,3,2024-03-09,2025-03-04,0,Active,
327,5963,2,2024-02-21,2024-05-21,0,Active,
328,17866,3,2023-12-17,2024-12-11,1,Cancelled,Not Using Enough
329,14418,2,2023-05-11,2023-08-09,0,Active,
330,13417,3,2023-01-09,2024-01-04,1,Active,
331,18613,2,2023-05-25,2023-08-23,1,Active,
332,17816,2,2024-08-17,2024-11-15,1,Cancelled,
333,9456,1,2024-10-06,2024-11-05,1,Cancelled,
334,6963,3,2024-07-05,2025-06-30,1,Active,
335,18555,2,2023-06-10,2023-09-08,0,Active,
336,14609,1,2023-07-24,2023-08-23,0,Active,
337,13807,2,2024-11-29,2025-02-27,0,Active,
338,18641,1,2023-10-30,2023-11-29,0,Active,
339,16773,1,2023-02-05,2023-03-07,1,Active,
340,8346,1,2023-02-03,2023-03-05,0,Active,
341,2072,3,2024-11-08,2025-11-03,1,Active,
342,9117,3,2024-02-27,2025-02-21,0,Active,
343,1207,1,2024-07-02,2024-08-01,0,Active,
344,19876,3,2024-11-05,2025-10-31,1,Active,
345,6097,1,2024-08-13,2024-09-12,0,Active,
346,162,2,2023-10-19,2024-01-17,0,Cancelled,Found Alternative
347,8910,1,2024-04-24,2024-05-24,0,Cancelled,Not Using Enough
348,11972,3,2023-09-14,2024-09-08,1,Cancelled,Found Alternative
349,3922,1,2024-02-28,2024-03-29,0,Active,
350,18097,2,2024-03-04,2024-06-02,1,Cancelled,Found Alternative
351,16961,2,2023-06-16,2023-09-14,1,Active,
352,12097,1,2023-12-24,2024-01-23,0,Active,
353,17143,2,2023-02-12,2023-05-13,0,Active,
354,13421,1,2023-11-02,2023-12-02,1,Active,
355,1417,3,2023-05-27,2024-05-21,1,Cancelled,Too Expensive
356,7170,1,2023-02-22,2023-03-24,1,Active,
357,1016,2,2024-07-16,2024-10-14,1,Active,
358,1558,1,2024-05-22,2024-06-21,0,Active,
359,13983,3,2024-05-27,2025-05-22,0,Active,
360,19402,3,2023-11-17,2024-11-11,1,Active,
361,18660,3,2023-08-20,2024-08-14,1,Active,
362,12745,1,2024-08-07,2024-09-06,0,Active,
363,3525,1,2024-07-20,2024-08-19,1,Active,
364,17525,1,2023-07-27,2023-08-26,0,Active,
365,2620,2,2024-10-11,2025-01-09,0,Active,
366,236,1,2024-02-23,2024-03-24,0,Cancelled,Found Alternative
367,9830,2,2024-08-02,2024-10-31,1,Active,
368,3350,3,2024-08-21,2025-08-16,1,Active,
369,16844,3,2023-02-15,2024-02-10,1,Active,
370,6489,3,2024-06-04,2025-05-30,0,Active,
371,4418,2,2024-05-24,2024-08-22,1,Active,
372,14584,1,2024-06-03,2024-07-03,1,Active,
373,1605,3,2024-09-24,2025-09-19,0,Cancelled,Not Using Enough
374,8536,1,2024-03-26,2024-04-25,0,Active,
375,13781,1,2023-05-11,2023-06-10,0,Active,
376,14153,1,2023-10-30,2023-11-29,0,Cancelled,Not Using Enough
377,18346,2,2024-07-05,2024-10-03,1,Active,
378,14618,3,2024-06-29,2025-06-24,1,Active,
379,15383,3,2023-02-02,2024-01-28,1,Active,
380,6951,3,2024-01-30,2025-01-24,0,Active,
381,13471,1,2024-03-18,2024-04-17,1,Active,
382,12625,2,2024-01-07,2024-04-06,0,Active,
383,330,2,2024-09-28,2024-12-27,1,Active,
384,14776,1,2023-04-17,2023-05-17,0,Active,
385,12955,3,2023-12-18,2024-12-12,1,Cancelled,Not Using Enough
386,13165,1,2024-06-01,2024-07-01,0,Active,
387,19556,2,2023-12-26,2024-03-25,1,Active,
388,9113,1,2023-10-22,2023-11-21,0,Cancelled,
389,12702,1,2023-03-09,2023-04-08,1,Active,
390,5170,3,2023-09-04,2024-08-29,1,Active,
391,16615,1,2024-02-07,2024-03-08,0,Active,
392,15362,3,2023-11-15,2024-11-09,0,Active,
393,18335,2,2024-06-16,2024-09-14,1,Active,
394,9694,2,2023-01-19,2023-04-19,1,Active,
395,18394,2,2023-05-28,2023-08-26,1,Active,
396,16047,3,2024-02-21,2025-02-15,1,Active,
397,1381,3,2024-05-28,2025-05-23,1,Active,
398,6706,1,2023-04-23,2023-05-23,0,Active,
399,12753,1,2023-11-25,2023-12-25,1,Cancelled,Too Expensive
400,5745,3,2023-08-26,2024-08-20,1,Active,
401,2967,1,2023-05-07,2023-06-06,0,Cancelled,
402,11964,3,2023-06-25,2024-06-19,1,Active,
403,14267,1,2024-05-24,2024-06-23,0,Active,
404,18413,1,2024-06-20,2024-07-20,1,Active,
405,1716,3,2023-06-23,2024-06-17,1,Active,
406,2180,2,2024-09-18,2024-12-17,0,Active,
407,12566,3,2023-06-01,2024-05-26,0,Active,
408,11645,1,2023-10-30,2023-11-29,0,Active,
409,12289,1,2024-07-27,2024-08-26,0,Active,
410,7168,2,2023-12-25,2024-03-24,1,Cancelled,
411,12548,2,2023-06-23,2023-09-21,0,Active,
412,2593,3,2023-03-26,2024-03-20,0,Cancelled,
413,13669,2,2024-09-15,2024-12-14,0,Active,
414,3141,1,2024-04-03,2024-05-03,0,Active,
415,18114,3,2023-04-22,2024-04-16,1,Cancelled,
416,7572,2,2023-10-13,2024-01-11,1,Active,
417,17178,2,2023-11-09,2024-02-07,0,Active,
418,10189,1,2023-01-19,2023-02-18,0,Active,
419,10840,2,2024-08-07,2024-11-05,0,Active,
420,16617,2,2024-06-15,2024-09-13,1,Cancelled,Not Using Enough
421,2305,2,2023-09-09,2023-12-08,0,Active,
422,3043,2,2024-05-01,2024-07-30,1,Active,
423,12376,3,2023-05-01,2024-04-25,1,Cancelled,Found Alternative
424,13257,3,2023-07-20,2024-07-14,1,Active,
425,771,1,2024-05-10,2024-06-09,0,Active,
426,10289,2,2024-07-11,2024-10-09,0,Active,
427,10639,2,2023-01-08,2023-04-08,1,Active,
428,7559,1,2023-04-05,2023-05-05,1,Cancelled,Found Alternative
429,15194,3,2024-06-29,2025-06-24,1,Active,
430,1520,2,2024-11-10,2025-02-08,0,Active,
431,13664,3,2023-05-29,2024-05-23,1,Active,
432,1379,3,2023-04-20,2024-04-14,1,Active,
433,15116,3,2024-01-29,2025-01-23,0,Active,
434,4807,3,2023-11-01,2024-10-26,1,Active,
435,13175,3,2024-03-26,2025-03-21,1,Active,
436,5028,3,2023-12-16,2024-12-10,0,Active,
437,1922,1,2023-10-14,2023-11-13,0,Active,
438,5385,1,2024-01-01,2024-01-31,0,Active,
439,18506,2,2024-02-13,2024-05-13,0,Cancelled,Too Expensive
440,114,3,2023-01-09,2024-01-04,0,Active,
441,17259,2,2024-07-16,2024-10-14,1,Active,
442,13031,1,2023-01-12,2023-02-11,1,Active,
443,15237,3,2024-05-03,2025-04-28,1,Active,
444,12537,3,2024-04-29,2025-04-24,0,Active,
445,10070,2,2023-05-19,2023-08-17,1,Cancelled,Too Expensive
446,10338,3,2023-09-21,2024-09-15,1,Active,
447,18055,1,2024-03-02,2024-04-01,1,Cancelled,
448,2067,2,2024-08-11,2024-11-09,1,Cancelled,
449,16337,1,2023-07-06,2023-08-05,0,Active,
450,2421,2,2023-10-19,2024-01-17,0,Cancelled,Found Alternative
451,14357,3,2023-06-17,2024-06-11,0,Active,
452,9262,2,2023-01-18,2023-04-18,1,Active,
453,8400,3,2023-08-31,2024-08-25,0,Active,
454,18228,1,2024-10-13,2024-11-12,1,Active,
455,4713,2,2024-07-09,2024-10-07,0,Cancelled,Too Expensive
456,10334,1,2024-11-13,2024-12-13,1,Active,
457,14216,1,2023-07-03,2023-08-02,0,Active,
458,1075,1,2023-10-07,2023-11-06,0,Active,
459,11170,2,2023-10-22,2024-01-20,1,Active,
460,9599,2,2023-11-15,2024-02-13,0,Cancelled,
461,17265,3,2023-06-18,2024-06-12,0,Active,
462,3760,2,2023-08-17,2023-11-15,1,Cancelled,
463,17158,3,2023-06-09,2024-06-03,1,Active,
464,17468,3,2023-08-21,2024-08-15,0,Cancelled,Not Using Enough
465,15699,1,2024-10-24,2024-11-23,1,Active,
466,19935,3,2023-10-06,2024-09-30,0,Active,
467,17406,3,2024-01-26,2025-01-20,1,Active,
468,15866,3,2024-01-10,2025-01-04,1,Active,
469,3923,3,2023-09-04,2024-08-29,1,Active,
470,16843,2,2024-03-12,2024-06-10,1,Active,
471,8960,1,2024-03-18,2024-04-17,1,Active,
472,16033,3,2024-11-30,2025-11-25,1,Active,
473,10281,2,2024-09-28,2024-12-27,0,Cancelled,Too Expensive
474,16359,2,2023-03-17,2023-06-15,0,Active,
475,11415,1,2023-09-28,2023-10-28,1,Active,
476,1816,1,2024-02-16,2024-03-17,0,Active,
477,90,3,2023-07-01,2024-06-25,1,Active,
478,2890,1,2023-06-27,2023-07-27,0,Active,
479,12940,2,2023-04-10,2023-07-09,1,Active,
480,15581,2,2024-11-29,2025-02-27,1,Cancelled,Too Expensive
481,16225,3,2023-07-25,2024-07-19,1,Active,
482,17240,3,2023-11-04,2024-10-29,0,Active,
483,13881,1,2024-03-29,2024-04-28,0,Active,
484,9459,1,2024-10-24,2024-11-23,1,Active,
485,5776,2,2024-05-24,2024-08-22,1,Active,
486,3345,1,2023-01-09,2023-02-08,0,Active,
487,7037,1,2023-04-24,2023-05-24,0,Cancelled,Too Expensive
488,5114,3,2024-06-02,2025-05-28,1,Cancelled,Not Using Enough
